MonthDate;CompanyCode;CompanyName;Country;Operation;EventType;SearchTerm;DeviceCategory;ContentType;ContentTitle;DownloadLanguage;Theme;Route;UniqueUsers;DateRange
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;save;-;Desktop;-;-;-;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;save;-;Desktop;-;-;-;Personal growth,Healthy workplace;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;fitness;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;sports;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;training;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;gym;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;exersice;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;exerisce;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Sleep;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;exercise;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;sweat;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;heat;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Protection;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Sun;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Summer;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Health;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;search;Sports;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How Self-compassion Can Help You Achieve Your Fitness Goals;-;Physical wellbeing,Self-compassion;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Toolkit;Emotional Intelligence Training Toolkit;-;Personal growth,Relationships;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;30 Day Beat Burnout Challenge;-;Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;6 Ways to Create a Better Sleep Environment;-;Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;10 Ways to Look After Your Mental Health;-;Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;6 Ways to Boost Your Self-esteem;-;Personal growth,Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;What is a Growth Mindset?;-;Personal growth;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Beyond the Scale: 4 Non-Weight Metrics for a Truly Healthy Body;-;Physical wellbeing,Sleep,Exercise;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;6 Home and Office Hacks to Support Healthier Choices;-;Healthy workplace;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;The Best Types of Exercise for Stress Management;-;Mental wellbeing,Physical wellbeing,Exercise;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Places Where Sun Protection is Vital;-;Physical wellbeing,Sun,Cancer;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Keep Safe in the Sun;-;Physical wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Eye Health and Sun Concern;-;Physical wellbeing,Sun;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;8 Signs of a Healthy Body and Mind;-;Physical wellbeing,Mental wellbeing,Nutrition,Stress,Men's health;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Caring for Your Musculoskeletal Health at Work;-;Physical wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize Your Bone Health;-;Physical wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Signs Someone May Be Struggling With Their Mental Health;-;Mental wellbeing,Relationships;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Creating A Wellbeing Routine Around Work Shifts;-;Healthy workplace,Mental wellbeing;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;view;-;Desktop;Infosheet;Embracing the 'Fear of Missing Out' (FOMO);-;Mental wellbeing,Relationships;Search;1;2026-07-01 - 2026-07-31
