yearMonth;CompanyCode;CompanyName;Country;Operation;sessions;uniqueUsers;newUniqueUsers;FileName;PipelineRunID;DateRange;ImportDate;CreatedBy;DataSource
"2026-07";"LYRAMENATEST";"ICAS MENA (Test Preview)";"United Arab Emirates";"Lyra Health International Ltd (DMCC) Branch (MENA)";"1";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd_(DMCC)_Branch_(MENA)/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ADV";"ABP - Advanced Proteins";"United Kingdom";"Lyra UK & Ireland Ltd";"2";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_UK_&_Ireland_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"MERCK";"Merck Group";"Germany";"Lyra Health International Ltd";"1";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"REDSLIM";"Redslim";"Germany";"Lyra Health International Ltd";"4";"1";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ISENTIA";"Isentia Pte Limited";"Australia";"Lyra Health International Ltd";"4";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"WHI002";"Whitehead Scientific Pty Ltd";"South Africa";"Lyra Southern Africa Pty Ltd";"1";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Southern_Africa_Pty_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"MOO002";"Moore Cape Town Inc";"South Africa";"Lyra Southern Africa Pty Ltd";"1";"1";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Southern_Africa_Pty_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTOPS";"Unmapped";"South Africa";"Unmapped";"1";"1";"1";"Unmapped/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"ICASTESTCS";"ICAS Client Services (Test Preview)";"Spain";"Lyra Health International Ltd";"5";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"WECARE";"DS Smith";"United Kingdom";"Lyra Health International Ltd";"1";"1";"1";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"LAPACASTERLLOYD";"Acaster Lloyd";"United Kingdom";"Lyra UK & Ireland Ltd";"1";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_UK_&_Ireland_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
"2026-07";"DATALOGIC";"Datalogic";"Malta";"Lyra Health International Ltd";"2";"1";"0";"Staging/2026-08-02_01f5da82-777c-4786-9e01-01034c7602b6/Lyra_Health_International_Ltd/Monthly/MercuryMonthlyUsers_2026-08-02.csv";"01f5da82-777c-4786-9e01-01034c7602b6";"2026-07-01 - 2026-07-31";"2026-08-02";"pl_tran_adlk_AppIn_Mercury";"Mercury"
